,abstract_no,sentence
10114,1092,"For the control group (n = 6; mean [ SD] age, 62.3 [ 11.6] years), the pre-LDS, post-LDS, and significance level (pre-LDS mean [ SD] vs. post-LDS mean [ SD]; p value) were as follows: OSDI (58.3 [ 22.1] vs. 48.3 [ 29.0]; p = 0.051), SANDE (77.4 [ 22.1] vs. 89.6 [ 32.6]; p = 0.20), SICCA OSS (7.0 [ 4.5] vs. 8.2 [ 3.5]; p = 0.25), MGS (1.3 [ 1.5] vs. 1.0 [ 0.9]; p = 0.75), MGYLS (0.3 [ 0.5] vs. 0.0 [ 0.0]; p = 0.50), FLBUT (2.99 [ 1.54] vs. 2.85 [ 1.79]; p = 0.63), and LOM (2.0 [ 0.0] vs. 2.0 [ 0.0]; p = n/a)."
10115,1092,"For the treatment group (n = 7; mean [ SD] age, 58.0 [ 8.1] years), the pre-LDS, post-LDS, and significance level were as follows: OSDI (63.2 [ 13.3] vs. 46.9 [ 19.4]; p = 0.04), SANDE (72.6 [ 17.1] vs. 77.0 [ 28.0]; p = 0.54), SICCA OSS (6.6 [ 2.9] vs. 5.0 [ 3.9]; p = 0.02), MGS (1.0 [ 1.2] vs. 3.1 [ 1.7]; p = 0.01), MGYLS (0.0 [ 0.0] vs. 0.6 [ 1.0]; p = 0.50), FLBUT (3.13 [ 0.81] vs. 3.45 [ 1.03]; p = 0.53), and LOM (0.9 [ 0.9] vs. 1.0 [ 1.0]; p = 1.00)."
10116,1092,"CONCLUSIONS: This pilot study showed that LDS improved symptoms, ocular staining, and meibomian gland function for the group that received LDS."
10117,1092,This indicates that LDS can aid in the management of SS dry eye.
10118,1093,Sjgren's syndrome is the second most common rheumatic disease in which autoimmune response targets exocrine glands (salivary and lacrimal glands) result in clinical symptoms of dry mouth and dry eye.
10119,1093,"Inflammation of the lacrimal gland induces tear abnormalities that contribute to the inflammation of the ocular surface, which includes ocular mucosa."
10120,1093,Thrombospondin-1 (TSP-1) plays a critical regulatory role in the ocular mucosa and as such TSP-1(-/-) mice develop spontaneously chronic ocular surface inflammation associated with Sjgren's syndrome.
10121,1093,The autoimmune pathology is also accompanied by a peripheral imbalance in regulatory (T(reg) ) and inflammatory Th17 effectors.
10122,1093,"In this study, we demonstrate an in-vitro effect of a CD47-binding TSP-derived peptide in the induction of transforming growth factor (TGF)-1-secreting forkhead box protein 2 (Foxp3(+) ) T(regs) from activated CD4(+) CD25(-) T cells and the inhibition of pathogenic T helper type 17 (Th17)-promoting interleukin (IL)-23 derived from antigen-presenting cells."
10123,1093,The in-vivo administration of this peptide promotes Foxp3(+) T(reg) induction and inhibition of Th17 development.
10124,1093,"Consistent with these results, topical administration of CD47-binding TSP peptide, both before and after the onset of the disease, attenuates clinical symptoms of SS-associated dry eye in TSP-1(-/-) mice."
10125,1093,Augmented expression of Foxp3 detected in the draining lymph nodes of TSP peptide -treated mice compared to those treated with control peptide suggests the ability of TSP peptide to restore peripheral immune imbalance.
10126,1093,"Thus, our results suggest that TSP-derived peptide attenuates Sjgren's syndrome-associated dry eye and autoimmune inflammation by preventing Th17 development while promoting the induction of T(regs) ."
10127,1093,"Collectively, our data identify TSP-derived peptide as a novel therapeutic option to treat autoimmune diseases."
10128,1094,Objective: To describe baseline characteristics of patients with primary Sjogren's syndrome (pSS) with right heart catheterization (RHC)-confirmed pulmonary arterial hypertension (PAH).
10129,1094,Methods: This retrospective study included consecutive patients hospitalized with pSS-PAH from Jan.2013 to June.2019 in Tianjin Medical University General Hospital.
10130,1094,All patients fulfilled the 2002 revised criteria for pSS proposed by the American-European Consensus Group.
10131,1094,PAH was defined according to RHC-based European Society of Cardiology/European Respiratory Society guidelines.
10132,1094,Associated variables were described and analyzed.
10133,1094,Predictive factors for achieving treatment goals were explored.
10134,1094,Sub-groups(based on Anti-SSB antibody positive/negative) were analyzed.
10135,1094,"Results: Twenty patients with RHC-confirmed pSS-PAH were included (median age at onset, 54.5 years; median PAH duration, 12 months).PAH was the initial manifestation of pSS in 5 patients(26.3%), and shortness of breath was the most common symptom (17/20,85%)."
10136,1094,"Mean pulmonary arterialpressure (mPAP) was 48(38, 55.75)mmHg, pulmonary vascularresistance (PVR) was 11.23 (6.17,14.69)IU, and mean cardiac index was 2.59(2.04,2.98)Lmin(-1)m(-2) in this group."
10137,1094,"In addition, right ventricular diameter40 mm[P=0.009, HR=5.92, 95%CI(1.55, 22.59)] was predictive factor for achieving the treatment goal."
10138,1094,"Furthermore, compared with Anti-SSB antibody negative patients, patients with Anti-SSB antibody positive had a higher PVR(IU) [14.1(11.23, 22.63)vs 6.4(6.15, 12.36),P=0.025], a higher mPAP(mmHg)[5(48.5,59)vs 39(32.5,50.75),P=0.013], and a lower cardiac index (Lmin(-1)m(-2)) [2.1(1.6,2.5)vs 2.9(2.56,3.41),P=0.002]."
10139,1094,Conclusions: pSS-PAH patients are mainly middle-aged women with the most common symptom shortness of breath.
10140,1094,And PAH can be the first manifestation of pSS.
10141,1094,"More attention should be paid to patients with Anti-La/SSB antibody positive and right ventricular diameter 40 mm because of higher mPAP, PVR, worse cardiac function and prognosis."
10142,1095,BACKGROUND: SjOgren's Syndrome (SS) is a systemic and chronic autoimmune disorder that affects the exocrine glands with massive autoantibody production.
10143,1095,"Although the pathogenesis of the disorder is incompletely understood, but some studies have reported that anti-moesin antibodies have been detected in autoimmune diseases with which SS is closely associated."
10144,1095,"Here, we have investigated moesin's potential involvement in SS."
10145,1095,OBJECTIVE: This study aims to verify whether moesin is a specific autoantigen involved in Chinese Hans SS patients.
10146,1095,"METHODS: First, recombinant human moesin was expressed and purified."
10147,1095,"Next, the protein was verified as antigen by Western blotting and immunoprecipitation."
10148,1095,The positive protein band in the immunoprecipitation was identified by (MALDI-TOF/TOF).
10149,1095,"Finally, an optimized ELISA (Enzyme- Linked Immunosorbent Assay) kit was developed to measure the titer concentration of anti-moesin antibody-positive patients in a large cohort of clinical subjects."
10150,1095,"RESULTS: Univariate analysis revealed that the proportion of individuals positive for serum IgG against recombinant human moesin was 42 % in a group of Chinese Hans SS patients (21 of 50), 22 % in systemic lupus erythematosus patients and (11 of 50), compared to only 4 % in healthy controls (2 of 50)."
10151,1095,CONCLUSION: An association between anti-moesin antibodies and SS manifestation have been found which may be considered a suspected serum biomarker for the development of SS.
10152,1096,"OBJECTIVE: Primary Sjgren's syndrome (SS) is a complex disorder, in part due to B cell abnormalities."
10153,1096,"Although anti-B cell therapy is promising in primary SS, no treatment has yet been demonstrated to modify the disease course."
10154,1096,This open-label study was undertaken to evaluate the efficacy of rituximab in primary SS and to investigate whether expression of specific genes is associated with efficacy of this treatment.
10155,1096,METHODS: Fifteen patients with primary SS were treated in an open-label trial.
10156,1096,"Salivary gland biopsy specimens were obtained, and total RNA was extracted and amplified."
10157,1096,"Microarray analysis with the Affymetrix Human Genome U133 Plus 2.0 Array was used to analyze >54,000 transcripts, and potential pathways were identified."
10158,1096,"RESULTS: With gene expression data obtained before treatment, patients could be correctly classified in terms of whether they would be responders or nonresponders to rituximab."
10159,1096,Gene pathway analysis demonstrated that the B cell signaling pathway was the most profoundly differentially expressed before treatment in the responders compared with nonresponders.
10160,1096,Subclassification of patients based on the level of infiltration also demonstrated differential expression of genes belonging to the interferon (IFN) pathway between responders and nonresponders.
10161,1096,"Furthermore, unsupervised analysis based on gene expression modification before and after treatment allowed identification of 8 genes that were differentially expressed between responders and nonresponders, with the difference remaining significant after Bonferroni correction."
10162,1096,CONCLUSION: Our results demonstrate the ability to elaborate a set of genes predictive of rituximab efficacy and highlight the importance of studying the differential expression of B cell and IFN pathway signaling molecules in relation to the response to anti-CD20 treatment.
10163,1096,A randomized controlled study is currently ongoing to confirm these results.
